PID,AGE_BUILT,sale_price,AGE_SALE,DISTANCE,AV_BLDG_LOG,LAND_SF_LOG,LIVING_AREA_LOG,AGE_REMODEL,R_TOTAL_RMS,edu_Pct_Age_25_plus_bachelors_plus,target
1002114000,122,977500,18,3.941617562,13.9219405,8.594154233,8.156223323,17,9,82.1,1
1002115000,102,840000,13,3.947564222,13.96634145,8.594154233,8.158516245,13,11,82.1,1
1002133000,102,599000,6,3.974936039,13.2380108,7.939158818,7.695757991,3,9,82.1,1
1002134000,102,210000,24,3.947291541,13.19542795,8.106212903,7.639642288,102,7,82.1,1
1002136001,97,9,11,3.977251181,13.45065942,8.523771507,7.667626092,9,8,82.1,0
1002145000,60,9,32,3.991549618,12.87236237,8.23350314,7.10824414,60,6,82.1,0
1002181000,93,9,4,2.153339608,13.54396427,8.362875831,7.794411206,7,9,82.1,1
1002184000,112,187000,25,2.155360376,13.09745574,8.235360644,7.482118924,112,8,82.1,1
1002195000,87,650000,9,3.921645339,13.34614672,8.511979624,7.41517511,15,7,82.1,1
1001888000,112,700000,3,3.530380189,13.1402033,8.112527763,7.358576089,112,8,30.9,1
1001890000,112,9,11,3.537497399,13.32334312,8.017307508,7.548134394,3,8,30.9,0
1001892000,112,9,12,3.544492427,13.05194091,8.167919363,7.454719949,112,9,30.9,0
1001893000,112,84000,26,3.548007698,13.04785533,8.187577396,7.435083975,112,8,30.9,0
1001894000,112,872000,3,3.551534902,13.47611405,8.105911198,7.573428483,4,9,30.9,1
1001895000,17,225000,15,3.555073833,12.59816541,8.013343181,7.593877845,12,6,30.9,0
1001897000,112,9,32,3.561861154,13.11150463,7.935587386,7.435083975,112,8,30.9,0
1001898000,112,9,4,3.565173005,13.03243867,7.935945103,7.435083975,112,8,30.9,1
1001899000,112,9,9,3.568497033,13.36781622,7.935945103,7.508787171,10,9,30.9,0
1001900000,112,0,35,3.572036728,13.24687925,7.936302693,7.454719949,112,11,30.9,0
1001901000,112,155000,35,3.575839924,13.41413707,8.211754397,7.435083975,22,10,30.9,0
1001903000,112,0,35,3.58799267,13.05600988,8.133000219,7.454719949,112,9,30.9,0
1001904000,112,340000,12,6.45,12.96477346,8.222822131,7.664721972,112,8,30.9,1
1001906000,122,625250,8,3.588056201,13.32137816,8.236685323,7.599301178,12,8,30.9,1
1001907000,122,375000,20,3.584562832,13.1922625,8.22389538,7.430114139,122,8,30.9,1
1001908000,122,400000,9,3.581120127,13.44835228,7.865571758,7.435083975,8,8,30.9,0
1001909000,123,9,23,3.578394496,13.26629055,7.937374696,7.508787171,123,9,30.9,0
1001910000,122,0,35,3.576489058,13.15231045,7.937374696,7.454719949,15,7,30.9,0
1001911000,122,9,21,3.5745864,13.20945808,7.937374696,7.435083975,11,8,30.9,0
1001912000,122,105000,35,3.572686501,13.14783617,7.937374696,7.435083975,20,8,30.9,0
1001914000,112,9,30,3.569173418,13.16235303,7.937374696,7.454719949,112,10,30.9,0
1001915000,122,9,11,3.567510222,13.13112488,7.937374696,7.435083975,14,9,30.9,0
1001916000,112,655000,6,3.565850016,13.21530712,7.937374696,7.435083975,112,8,30.9,1
1001917000,122,790000,5,3.545360567,13.51034317,8.385716829,7.480146258,6,7,30.9,1
1001918000,122,1,20,3.554117386,13.10826445,8.253488028,7.34601021,6,10,30.9,0
1001923000,125,95000,26,3.56924757,13.26386294,7.937374696,7.464395215,125,9,30.9,0
1001925000,122,9,12,3.571121173,13.21658205,7.937374696,7.454719949,19,9,30.9,0
1001926000,122,690000,8,3.572059385,13.51440547,7.937374696,7.454719949,20,9,30.9,1
1001929000,112,495000,7,3.574879293,13.00042171,7.465082736,7.196686571,2,6,30.9,1
1001931000,122,9,10,3.600243236,13.12595691,8.048149102,7.454719949,122,6,30.9,1
1001932000,122,9,4,3.599532545,13.23996862,7.818430272,7.452634443,7,8,30.9,0
1001933000,112,0,35,3.577669985,12.84264947,7.550661243,7.100027167,54,7,30.9,0
1001934000,122,772600,3,3.576707617,13.20154418,7.380879036,7.074963198,3,10,30.9,1
1001935000,134,9,9,3.575746218,13.17419653,7.185387016,7.074963198,2,8,30.9,0
1001936000,134,9,9,3.574785804,12.95913832,7.177018766,7.209783945,134,8,30.9,1
1001937000,122,285000,16,3.573826275,13.16791019,8.667507952,7.487509772,15,6,30.9,0
1001938000,122,9,4,3.572867682,13.3424623,8.359369106,7.60170214,122,8,30.9,1
1001939000,122,0,17,3.57190999,12.98837474,8.286521374,7.507470515,122,8,30.9,0
1001940000,122,634500,7,3.570953272,13.18777652,8.167919363,7.425357887,2,7,30.9,1
1001941000,132,275000,22,3.569997492,13.1402033,8.5465578,7.44903251,11,7,30.9,0
1001943000,112,9,5,3.574240317,13.18552595,7.98616486,7.564238475,112,9,30.9,1
1001944000,112,100000,25,3.580108902,12.92877863,7.962067309,7.229838778,14,7,30.9,0
1001945000,112,515000,9,3.585783669,13.20541693,7.962067309,7.412160335,9,10,30.9,1
1001946000,112,0,18,3.591472739,13.20339022,7.962067309,7.587209132,112,7,30.9,0
1001947000,112,630000,4,3.597176058,13.36937969,7.98616486,7.615988097,3,7,30.9,1
1001948000,122,1,19,3.602972091,13.2061529,8.077136639,7.59859981,30,7,30.9,0
1001949000,125,0,35,3.608981553,12.81366194,8.099554282,7.464739035,125,7,30.9,0
1001953000,122,0,35,3.642253539,13.137646,8.236685323,7.565068007,42,7,30.9,0
1001954000,122,9,27,3.636318111,13.17343665,8.255828427,7.632401127,122,9,30.9,0
1001955000,122,785000,3,3.630406748,13.27061095,8.255828427,7.583145738,22,9,30.9,1
1001956000,122,113000,18,3.624646055,13.20854107,8.255828427,7.61332498,122,9,30.9,0
1001957000,122,425000,5,3.618898287,13.56409612,8.160518247,7.488741093,4,9,30.9,1
1001958000,92,498000,17,3.613163557,13.24458101,8.160518247,7.509116064,92,8,30.9,1
1001959000,112,9,5,3.607502519,13.07296303,8.63212773,7.360867041,112,7,30.9,1
1001960000,122,9,26,3.602125265,13.20024992,8.740976538,7.687263625,32,10,30.9,0
1001962000,122,9,4,3.612178758,13.09004678,8.261009786,7.329093736,10,8,30.9,0
1001966000,136,9,7,3.631199414,13.46467567,8.009695358,7.505492275,17,8,30.9,0
1001967000,123,130500,32,3.632001824,13.11533876,7.926963545,7.534976309,123,8,30.9,0
